scorer,Ayano Matsushima,Ayano Matsushima,Ayano Matsushima,Ayano Matsushima,Ayano Matsushima,Ayano Matsushima,Ayano Matsushima,Ayano Matsushima,Ayano Matsushima,Ayano Matsushima
bodyparts,nose,nose,rightear,rightear,leftear,leftear,TailBase,TailBase,TailTip,TailTip
coords,x,y,x,y,x,y,x,y,x,y
labeled-data/Day1_PBS_7027_Movie on 8-10-21 at 10.16 AM_default/img14335.png,629.0818418353026,454.2379311921108,594.5910127838438,393.487039112837,636.1367841412828,385.6482143284146,544.0305929243192,309.21967268029596,489.1588194333622,398.9742164619327
labeled-data/Day1_PBS_7027_Movie on 8-10-21 at 10.16 AM_default/img25211.png,,,589.8740818679871,311.49211288608456,572.8685119811842,273.45333813928846,544.6750671688528,362.06130754947236,663.7140563764738,389.3597223677614
labeled-data/Day1_PBS_7027_Movie on 8-10-21 at 10.16 AM_default/img31069.png,,,637.091400903425,325.08001366557164,640.2035313402255,284.6223179871646,549.5627323684097,337.91755171737395,672.8809009266313,374.4850843497803
labeled-data/Day1_PBS_7027_Movie on 8-10-21 at 10.16 AM_default/img33790.png,460.2704803534996,400.68395774532314,503.3606171908545,343.4780864267658,522.3054187314157,379.8818227203932,593.9984912280493,337.5346192767858,537.5355533032393,253.95461248019222
labeled-data/Day1_PBS_7027_Movie on 8-10-21 at 10.16 AM_default/img37497.png,,,602.4627869567723,371.80075485065504,645.3043043513378,364.73411280619064,551.2296321344054,309.08430670603354,551.2296321344054,414.20060711744145
labeled-data/Day1_PBS_7027_Movie on 8-10-21 at 10.16 AM_default/img38265.png,483.316571108411,424.0135872749974,508.3393867915206,357.0033351066699,548.206245676475,393.4772698312026,609.7029960841173,307.805934780556,512.5805419920478,282.35900357739365
labeled-data/Day1_PBS_7027_Movie on 8-10-21 at 10.16 AM_default/img44779.png,669.8515710015508,443.0970307165967,610.6889184215088,397.54702386293604,653.0975454921585,371.892422301679,579.7986838885665,299.6406872924242,527.9659174688838,391.78782759408244
labeled-data/Day1_PBS_7027_Movie on 8-10-21 at 10.16 AM_default/img48693.png,457.7170212041242,289.64302676289475,515.0340400382817,308.7486997076138,490.5289377830984,343.22197915134626,610.9777454780669,365.23503710939224,598.102183276191,269.29133166960696
labeled-data/Day1_PBS_7027_Movie on 8-10-21 at 10.16 AM_default/img63087.png,541.2169462157277,444.384411440707,562.1302287562578,380.35759258585375,598.1654232876324,427.0102997916514,594.9581529457031,339.1429914910899,505.3922870140154,364.13811686737483
labeled-data/Day1_PBS_7027_Movie on 8-10-21 at 10.16 AM_default/img63115.png,479.1314664300273,300.4399549269731,536.4338605910795,312.06072017641725,510.3873177906012,347.32373196783396,603.7541558292387,391.40249670710483,600.1477114414802,303.24496722856304
labeled-data/Day1_PBS_7027_Movie on 8-10-21 at 10.16 AM_default/img65220.png,,,597.966589157028,356.5352285699166,635.0313606750135,340.95117690894546,532.6820484151218,319.47045705193113,605.1268291093661,382.6490448666791
labeled-data/Day1_PBS_7027_Movie on 8-10-21 at 10.16 AM_default/img66711.png,,,609.693146366781,361.9534359606478,648.8199967926089,345.614751167445,552.9377149798657,296.5986967878364,603.2436655273588,372.2726053037233
labeled-data/Day1_PBS_7027_Movie on 8-10-21 at 10.16 AM_default/img67025.png,460.60868030646066,372.1611652946612,524.6647485075246,356.80525853413224,522.4710475417347,394.97565533887575,611.096566559645,351.9791164093945,608.4641254006972,268.61847970937987
labeled-data/Day1_PBS_7027_Movie on 8-10-21 at 10.16 AM_default/img68106.png,688.9761185493796,381.8994426219957,648.7992165945936,328.99322519638645,624.1361678698736,365.5900071750034,576.7990259627495,331.77776295562904,599.4731191451534,408.15365578056867
labeled-data/Day1_PBS_7027_Movie on 8-10-21 at 10.16 AM_default/img82824.png,,,604.9455709108993,343.2649756902758,641.8728705016952,319.49988189421896,528.531653935886,324.98413430869357,628.7106647069561,368.8581536244908
labeled-data/Day1_PBS_7027_Movie on 8-10-21 at 10.16 AM_default/img84284.png,642.0352321600428,495.71139816571736,590.3955114253495,442.141220581129,652.170130621992,412.2191394077553,600.5304098872987,342.2400785990588,541.6514759654989,377.9535303221177
labeled-data/Day1_PBS_7027_Movie on 8-10-21 at 10.16 AM_default/img88208.png,,,624.5185489602857,325.3103815163259,632.573818906666,288.824747053309,578.082286916446,336.6825273229805,636.8383735841616,359.4268189362897
labeled-data/Day1_PBS_7027_Movie on 8-10-21 at 10.16 AM_default/img90820.png,542.7037460573669,356.65035399660127,529.1788483696171,396.8272559513872,607.9414878453362,327.2138119703224,520.0296528749628,335.96521635651345,,
labeled-data/Day1_PBS_7027_Movie on 8-10-21 at 10.16 AM_default/img92472.png,481.9283430259686,449.086945828359,514.5706133969218,390.60287808040135,544.9460594365587,436.8460944392516,597.9897487893575,368.3879996335028,533.1585729137145,333.4789049312335
labeled-data/Day1_PBS_7027_Movie on 8-10-21 at 10.16 AM_default/img96816.png,440.742063683065,380.1249432860952,513.4149892777514,344.50801440553107,514.49429015292,400.2718929559092,604.0762627919146,356.3803240323857,529.6045024052805,336.5931413209612
labeled-data/Day1_PBS_7028_WIN_20210810_10_44_22_Pro_default/img001447.png,,,386.6657865674375,247.38311605335915,346.8374136643391,246.5702921165612,397.6389097142095,300.6230839136233,493.55213425636487,301.0294958820223
labeled-data/Day1_PBS_7028_WIN_20210810_10_44_22_Pro_default/img007687.png,,,340.06811547027326,273.39810034871556,380.64927417847434,254.5137987716319,336.85376626566324,209.51290990709214,253.68248059638,279.82679875793553
labeled-data/Day1_PBS_7028_WIN_20210810_10_44_22_Pro_default/img009027.png,,,352.86808119742875,282.9167304804016,397.36557341929256,240.5898476352141,305.11467491055066,253.07085155110272,306.1999795988887,365.94253913826924
labeled-data/Day1_PBS_7028_WIN_20210810_10_44_22_Pro_default/img015163.png,,,363.45668551144047,262.58255420605457,376.5357615853708,298.1412922820525,445.20091097350473,260.53894856950296,437.4352095546086,368.4413261794277
labeled-data/Day1_PBS_7028_WIN_20210810_10_44_22_Pro_default/img016756.png,377.6796554081872,215.49473988378622,406.50488609866596,268.8016733524797,346.8800938484976,268.0119410047954,371.75666280055464,322.89833916885766,255.66600769095533,329.6110641241746
labeled-data/Day1_PBS_7028_WIN_20210810_10_44_22_Pro_default/img052367.png,,,374.64071453280184,251.61732838275944,365.6211398250385,291.9906627889382,407.28298490375494,238.30271809987067,380.6537643379774,139.94640342949893
labeled-data/Day1_PBS_7028_WIN_20210810_10_44_22_Pro_default/img059023.png,314.788463202388,205.39470972139847,374.64186218478073,238.27713261913277,329.5670802350776,268.57329753614636,407.8937505083323,239.75499432240173,325.77082298480553,170.36015071827873
labeled-data/Day1_PBS_7028_WIN_20210810_10_44_22_Pro_default/img064475.png,391.95495892792155,211.82691805216376,392.7539279112513,260.56402603528034,352.80547874476235,246.58206882700918,400.7436177445491,295.7186613017907,485.83381446917065,216.22124746047754
labeled-data/Day1_PBS_7028_WIN_20210810_10_44_22_Pro_default/img065083.png,288.2974261696046,329.7549247243522,310.44918760625944,270.82288014759115,349.73721732410013,316.3802763097681,404.9076420342594,289.2130217176442,493.9326455438345,261.62780936256456
labeled-data/Day1_PBS_7028_WIN_20210810_10_44_22_Pro_default/img067243.png,,,348.17084440517925,276.13662426805115,389.1537967639565,311.49446551876093,422.10087611120883,275.7348306174749,428.93136817100503,385.02270357421423
labeled-data/Day1_PBS_7028_WIN_20210810_10_44_22_Pro_default/img074631.png,,,422.0976074967699,268.8935316939734,373.1203469868721,262.3632302926537,340.00238988017935,298.2798879999121,286.8270784694332,371.0461036146174
labeled-data/Day1_PBS_7028_WIN_20210810_10_44_22_Pro_default/img077292.png,457.1543032517933,237.06117571959012,417.62150268934874,280.54725633827917,380.5595021620569,237.55533572662068,351.40406174725405,305.7494166968376,456.6601432447627,349.2354973155267
labeled-data/Day1_PBS_7028_WIN_20210810_10_44_22_Pro_default/img080968.png,395.5769785925372,372.682465985562,341.168576323126,335.1909619007576,397.4058324503326,309.12979442717415,380.4889342657257,241.46220168874677,446.3276731463577,329.7044003273716
labeled-data/Day1_PBS_7028_WIN_20210810_10_44_22_Pro_default/img086785.png,457.5439068524765,246.8694667451168,405.8972586410491,281.9502089264637,409.79511888342097,234.6886534877047,342.5570297025062,289.7459294112074,425.873792383205,338.9564149711523
labeled-data/Day1_PBS_7028_WIN_20210810_10_44_22_Pro_default/img095027.png,428.8640977535995,243.3230143058753,401.52365624312375,296.295119732422,376.23374784593375,258.36025713663696,359.8294829396483,315.091673270874,470.21651553819396,332.1794492149213
labeled-data/Day1_PBS_7028_WIN_20210810_10_44_22_Pro_default/img099307.png,,,372.7353732498061,313.90753658112976,413.6328867288631,273.46954572543297,341.4878348613131,299.66233525696384,368.59966963956435,385.1335432019594
labeled-data/Day1_PBS_7028_WIN_20210810_10_44_22_Pro_default/img117236.png,,,360.0706491871915,301.0142092500291,410.6689392528624,291.0478793886091,334.0048633957853,266.132054735059,358.53736767005,367.3286348664008
labeled-data/Day1_PBS_7028_WIN_20210810_10_44_22_Pro_default/img117347.png,323.8884855428847,218.51936859223898,361.2922415890575,256.3341549246334,313.20169810112105,268.25403322506213,392.9415736281267,280.5849418117125,381.8437559001414,183.99282454961798
labeled-data/Day1_PBS_7028_WIN_20210810_10_44_22_Pro_default/img119674.png,296.6177506124661,230.14893943433185,364.10291979689623,245.50484619486087,318.0351995153093,286.319229953109,392.39011646102864,241.0597152904972,285.70697475630084,223.68329448253016
labeled-data/Day1_PBS_7028_WIN_20210810_10_44_22_Pro_default/img124482.png,296.9399464007885,254.47865337300104,356.53241042619777,253.5688447619261,324.234204733037,301.33379684336103,391.1051376470459,239.01190698472686,282.83791292912673,196.70580656974164
labeled-data/e268e489-f56e-4535-84a9-ad80011fc842-7470c48e-1bfe-4ff8-8422-ad80015152d6/img023082.png,,,,,,,,,,
labeled-data/e268e489-f56e-4535-84a9-ad80011fc842-7470c48e-1bfe-4ff8-8422-ad80015152d6/img033708.png,,,,,,,,,,
labeled-data/e268e489-f56e-4535-84a9-ad80011fc842-7470c48e-1bfe-4ff8-8422-ad80015152d6/img063765.png,309.72785541317376,170.95186761572478,357.8590813806766,186.1876513752221,333.6203344905673,217.69802233236425,393.87093390312486,221.50696827223857,369.9784548257313,284.5277101865229
labeled-data/e268e489-f56e-4535-84a9-ad80011fc842-7470c48e-1bfe-4ff8-8422-ad80015152d6/img072509.png,444.02684205139667,250.77386071220522,398.1229603927146,231.2050499989934,429.7699667570365,201.87148696719456,344.8070758240069,184.27921036332293,299.5489368430923,270.96595348830556
labeled-data/e268e489-f56e-4535-84a9-ad80011fc842-7470c48e-1bfe-4ff8-8422-ad80015152d6/img076819.png,299.6262977517477,120.87937070424144,347.7369348222783,146.34970797687527,313.37219405761357,172.6286273851483,382.9102577225822,198.09896465778212,326.7137992956599,257.52975162726113
labeled-data/e268e489-f56e-4535-84a9-ad80011fc842-7470c48e-1bfe-4ff8-8422-ad80015152d6/img079987.png,259.0073856720374,215.11508905565285,310.4702695132387,194.67592951588495,306.4554346036415,234.82427861185758,373.9776580832318,243.58391841461525,427.9954368669041,168.03202511583038
labeled-data/e268e489-f56e-4535-84a9-ad80011fc842-7470c48e-1bfe-4ff8-8422-ad80015152d6/img083708.png,471.1832125198221,165.48622672238528,447.64448812677074,196.3808024882652,427.0481042828508,164.01505644781957,375.5571446730509,187.55378084087096,312.2968228667253,271.9008765826384
labeled-data/e268e489-f56e-4535-84a9-ad80011fc842-7470c48e-1bfe-4ff8-8422-ad80015152d6/img084278.png,283.6377829830843,270.8709825217261,334.3894140197882,251.62036385263156,331.2393127830273,288.02153369964674,404.74167497411565,241.12002639676177,398.09146125206473,142.41685431158592
labeled-data/e268e489-f56e-4535-84a9-ad80011fc842-7470c48e-1bfe-4ff8-8422-ad80015152d6/img088634.png,382.99815359547483,344.62400517486265,358.1342529245703,302.72372811833844,400.4949725861112,300.88195769827144,400.4949725861112,240.1035338360606,341.0978765389506,222.60671484542414
labeled-data/e268e489-f56e-4535-84a9-ad80011fc842-7470c48e-1bfe-4ff8-8422-ad80015152d6/img093175.png,429.54051285886976,160.83983675675248,435.97922245747793,198.2648362986626,398.9566422654808,185.78983645135924,361.9340620734837,236.4946745403988,330.9477721301817,150.77935300892716
labeled-data/e268e489-f56e-4535-84a9-ad80011fc842-7470c48e-1bfe-4ff8-8422-ad80015152d6/img102879.png,447.7402835850881,317.29269365644035,404.48862620001887,295.258830460273,437.94745549790264,267.10444970961464,384.0869010183824,234.0536549153636,328.59420852433124,216.916205762789
labeled-data/e268e489-f56e-4535-84a9-ad80011fc842-7470c48e-1bfe-4ff8-8422-ad80015152d6/img105284.png,438.4100730391268,210.13736758619856,421.5122037785934,264.02786955222393,383.60617273469427,229.31873269274996,330.629069107076,301.0205022577159,248.42321865042715,314.72147733382405
labeled-data/e268e489-f56e-4535-84a9-ad80011fc842-7470c48e-1bfe-4ff8-8422-ad80015152d6/img109944.png,274.255066070549,166.01880533552128,329.24613816563885,166.86482182929188,304.28865159940574,206.62759703651068,391.8513587046641,221.8558939243817,414.69380403647074,296.7283536230809
labeled-data/e268e489-f56e-4535-84a9-ad80011fc842-7470c48e-1bfe-4ff8-8422-ad80015152d6/img120339.png,450.3792242767178,186.59628482858486,414.6481294402555,219.31391383546608,402.16377100341924,181.43034340644573,344.90792024137716,223.18836990207043,280.3336524646379,250.7400574868125
labeled-data/e268e489-f56e-4535-84a9-ad80011fc842-7470c48e-1bfe-4ff8-8422-ad80015152d6/img124036.png,312.8460017459748,252.41509527576204,342.1234132405764,222.2504894934453,351.438953261586,260.8434410090565,378.49837903689956,161.03408364109652,391.36269620877,118.00516068690933
